net | stat | lat | lon 
Z3|A356A|49.037100|12.213800
Z3|A358A|48.869700|13.194300
Z3|A360A|48.728900|10.297100
Z3|A361A|48.790900|10.817100
Z3|A362A|48.363600|10.402100
Z3|A363A|48.523000|10.933300
Z3|A364A|48.501772|11.450720
Z3|A365A|48.165100|10.733400
Z3|A366A|47.833300|10.623400
Z3|A367A|48.306700|11.923300
Z3|A368A|49.125900|10.546700
Z3|A369A|49.116000|11.021600
Z3|D109|46.824306|11.738924
Z3|D135|47.183926|12.936889
Z3|D155|47.425778|14.288965
Z3|A401A|42.647000|5.019800
Z3|A404A|42.178250|5.019267
Z3|A405A|42.411567|5.303650
Z3|A406A|42.646667|5.856667
Z3|A409A|43.348183|7.516717
Z3|A412A|41.647583|4.744833
Z3|A413A|41.942200|5.310100
Z3|A414A|42.178267|5.858317
Z3|A415A|42.411900|6.410933
Z3|A416A|42.647900|6.962700
Z3|A417A|42.879617|7.517817
Z3|A418A|42.999917|8.070900
Z3|A419A|43.291300|8.602000
Z3|A420A|43.453733|9.195483
Z3|A421A|41.715300|5.849967
Z3|A422A|41.943900|6.410100
Z3|A423A|42.178400|6.964050
Z3|A425A|42.647800|8.073800
Z3|A428A|41.710233|6.963833
Z3|A429A|41.944700|7.518800
Z3|A430A|42.177900|7.980917
Z3|A434A|43.850317|9.229867
Z3|A002N|48.317533|16.615229
Z3|A005N|48.378430|16.120699
Z3|A011N|47.390759|16.007693
Z3|A024N|48.213063|14.136727
Z3|A060N|47.030500|7.890400
Z3|A101N|48.118225|8.550189
Z3|A104N|48.062785|9.710348
Z3|A106N|48.753327|9.721797
Z3|A118N|49.354190|9.969920
Z3|A147N|48.537900|12.945500
Z3|A148N|48.478000|12.460500
Z3|A186N|44.793200|5.589100
Z3|A209N|42.504100|9.494400
Z3|A283N|45.229600|8.320800
Z3|A351N|50.003000|10.792200
Z3|A357N|48.699800|11.999200
Z3|A359N|48.833100|12.642100
Z3|A020N|46.948445|15.299396
Z3|A028N|47.102950|13.995760
Z3|A035N|47.196800|12.720905
Z3|A088N|49.430300|17.291100
Z3|A103N|47.810224|9.522120
Z3|A107N|48.031091|10.227152
Z3|A113N|49.545960|8.729640
Z3|A116N|49.398020|9.483340
Z3|A121N|47.835420|7.725810
Z3|A157N|48.002500|5.732580
Z3|A166N|46.981600|4.147980
Z3|A172N|46.385800|5.213200
Z3|A178N|45.810700|6.200400
Z3|A192N|44.506900|4.586900
